pdf,study,field,status,priority,legacy_value_json,legacy_normalized_json,llm_a_value_json,llm_a_normalized_json,llm_b_value_json,llm_b_normalized_json,agreement_pattern,reviewed_value_json,decision_status,reviewer,decision_reason,evidence_quote,page,notes,suggested_value_json,suggested_source,suggestion_confidence,suggested_decision_status,review_action,suggestion_reason,needs_pdf_check,alignment_issue,alignment_evidence
Ooi 2012.pdf,Ooi 2012,Total Number of Observations,one_source_only,medium,null,[],null,[],"""NR""","[""not reported""]",only one source has a non-empty value,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,"""NR""",llm_b,low,candidate_llm_b_only,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Only one source has a non-empty value; source PDF must be checked.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Total Number of Observations,one_source_only,medium,null,[],null,[],6,"[""6""]",only one source has a non-empty value,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,6,llm_b,low,candidate_llm_b_only,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Only one source has a non-empty value; source PDF must be checked.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Heard 1992.pdf,Heard 1992,Treatment protocol,one_source_only,medium,null,[],null,[],"[""Coping Cat program"", ""FRIENDS program"", ""Social Effectiveness Therapy for Children (SET-C)"", ""Creating Confident Children Program (CCCP)"", ""Group Cognitive-Behavioral Treatment for Adolescents (GCBT-A)""]","[""coping cat program"", ""creating confident children program (cccp)"", ""friends program"", ""group cognitive-behavioral treatment for adolescents (gcbt-a)"", ""social effectiveness therapy for children (set-c)""]",only one source has a non-empty value,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,"[""Coping Cat program"", ""FRIENDS program"", ""Social Effectiveness Therapy for Children (SET-C)"", ""Creating Confident Children Program (CCCP)"", ""Group Cognitive-Behavioral Treatment for Adolescents (GCBT-A)""]",llm_b,low,candidate_llm_b_only,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. Only one source has a non-empty value; source PDF must be checked.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Jarrett 2012.pdf,Jarrett 2012,Age,two_llms_agree_legacy_diff,high,"""mean age 8.88""","[""mean age 8.88""]","[8, 12]","[""8-12""]","""8-12""","[""8-12""]",llm_a=llm_b; legacy differs,"""8-12""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Participants included eight children and their parent(s). Inclusion criteria were as follows: (a) ages 8-12.,2,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""8-12""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Leger 2003.pdf,Leger 2003,Age,two_llms_agree_legacy_diff,high,"[17, 16]","[""16-17""]","[16, 17, 18]","[""16-18""]","[16, 17, 18]","[""16-18""]",llm_a=llm_b; legacy differs,"[16, 17, 18]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"They were four girls (aged 17, 17, and 18 years) and three boys (aged 16, 18, and 18 years).",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[16, 17, 18]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Lewis 2015.pdf,Lewis 2015,Age,two_llms_agree_legacy_diff,high,"[7, 4, 6, 5]","[""4-7""]","[5, 7]","[""5-7""]","""5 to 7 years""","[""5-7""]",llm_a=llm_b; legacy differs,"""5 to 7 years""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Participants included nine children and their mothers. Inclusion criteria were as follows: (a) child between the ages of 5 and 7 years.,3,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""5 to 7 years""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Olivier 2021.pdf,Olivier 2021,Age,two_llms_agree_legacy_diff,high,"[4, 5, 7, 6]","[""4-7""]","[4, 8]","[""4-8""]","""4 to 8 years""","[""4-8""]",llm_a=llm_b; legacy differs,"""4 to 8 years""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"We studied 9 children, aged 4 to 8 years old with a DSM-5 diagnosis of PTSD.",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""4 to 8 years""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Pathak 2005.pdf,Pathak 2005,Age,two_llms_agree_legacy_diff,high,"[13, 16, 15, 14]","[""13-16""]","[13, 18]","[""13-18""]","""13-18 years""","[""13-18""]",llm_a=llm_b; legacy differs,"""13-18 years""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,The medical charts of 10 adolescents (13-18 years of age) who had a diagnosis of DSM-IV-TR MDD were identified.,3,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""13-18 years""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Saigh 1987.pdf,Saigh 1987,Country,two_llms_agree_legacy_diff,high,"""USA""","[""united states""]","""Lebanon""","[""lebanon""]","""Lebanon""","[""lebanon""]",llm_a=llm_b; legacy differs,"""Lebanon""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Each case was assessed and treated by the author at a clinical setting in Lebanon.,2,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""Lebanon""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Yorke 2013 - Equine-assisted therapy and its impact on cortisol levels of children and horses  a pilot study and meta-analysis.pdf,Yorke 2013,Country,two_llms_agree_legacy_diff,high,"""USA""","[""united states""]","[""Canada"", ""USA""]","[""canada"", ""united states""]","""Canada, USA""","[""canada"", ""united states""]",llm_a=llm_b; legacy differs,"""Canada, USA""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"School of Social Work, Laurentian University, Ontario, Canada; College of Social Work, University of Tennessee, Knoxville, TN, USA.",2,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""Canada, USA""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Leger 2003.pdf,Leger 2003,Ethnicity / Race,two_llms_agree_legacy_diff,high,"""NR""","[""not reported""]","""French Canadian""","[""french canadian""]","""French Canadian""","[""french canadian""]",llm_a=llm_b; legacy differs,"""French Canadian""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"They were four girls (aged 17, 17, and 18 years) and three boys (aged 16, 18, and 18 years), and all were French Canadian.",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""French Canadian""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Number of Cases,two_llms_agree_legacy_diff,high,4,"[""4""]",6,"[""6""]",6,"[""6""]",llm_a=llm_b; legacy differs,6,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Anxiety and ASD symptoms were assessed for six participants at intake, after baseline, posttreatment, and at 1-month follow-up.",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,6,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Gaynor 2008.pdf,Gaynor 2008,Number of Cases,two_llms_agree_legacy_diff,high,3,"[""3""]",4,"[""4""]",4,"[""4""]",llm_a=llm_b; legacy differs,4,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Data from four depressed adolescents who demonstrated remission following a behavioral activation intervention illustrate the use of the approach.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,4,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Leger 2003.pdf,Leger 2003,Number of Cases,two_llms_agree_legacy_diff,high,4,"[""4""]",7,"[""7""]",7,"[""7""]",llm_a=llm_b; legacy differs,7,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Seven adolescents who responded to an advertisement in a local newspaper were included in this study.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,7,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Pathak 2005.pdf,Pathak 2005,Number of Cases,two_llms_agree_legacy_diff,high,7,"[""7""]",10,"[""10""]",10,"[""10""]",llm_a=llm_b; legacy differs,10,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Methods: The medical charts of 10 adolescents (13-18 years of age) diagnosed with treatment-resistant MDD were reviewed.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,10,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Reuland 2014.pdf,Reuland 2014,Number of Cases,two_llms_agree_legacy_diff,high,17,"[""17""]",18,"[""18""]",18,"[""18""]",llm_a=llm_b; legacy differs,18,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Participants (ages 10-15; N = 18) and their mothers were randomly assigned to one of three conditions.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,18,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Santucci 2009.pdf,Santucci 2009,Number of Cases,two_llms_agree_legacy_diff,high,4,"[""4""]",5,"[""5""]",5,"[""5""]",llm_a=llm_b; legacy differs,5,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"The summer treatment program for SAD was pilot-tested using a case-series design with 5 female children, aged 8 to 11.",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,5,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Storch 2015 - A Case Series of Cognitive-Behavioral Therapy Augmentation of Antidepressant Medication for Anxiety in Children With Autism Spectrum Disorders.pdf,Storch 2015,Number of Cases,two_llms_agree_legacy_diff,high,6,"[""6""]",7,"[""7""]",7,"[""7""]",llm_a=llm_b; legacy differs,7,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Method: Seven youth with ASD and one or more comorbid anxiety disorders received 16 sessions of weekly CBT.,3,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,7,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Bowyer 2014.pdf,Bowyer 2014,Total Number of Observations,two_llms_agree_legacy_diff,high,null,[],3,"[""3""]","""3 (assessment/start, mid-treatment, end of treatment)""","[""3""]",llm_a=llm_b; legacy differs,"""3 (assessment/start, mid-treatment, end of treatment)""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Symptoms of PTSD, depression and self-criticism were measured at assessment/start of treatment, mid- and end of treatment.",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""3 (assessment/start, mid-treatment, end of treatment)""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Hendriks 2017 - Child Psychology Psychiatry - Intensive prolonged exposure treatment for adolescent complex posttraumatic.pdf,Hendriks 2017,Total Number of Observations,two_llms_agree_legacy_diff,high,17,"[""17""]",21,"[""21""]",21,"[""21""]",llm_a=llm_b; legacy differs,21,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Self-reported PTSD symptom severity was assessed weekly as a primary outcome (a total of 21 measurements).,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,21,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Malboeuf-Hurtubise 2017.pdf,Malboeuf-Hurtubise 2017,Total Number of Observations,two_llms_agree_legacy_diff,high,7,"[""7""]",10,"[""10""]",10,"[""10""]",llm_a=llm_b; legacy differs,10,gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,A total of 10 assessment time points were included in this project.,4,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,10,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Bechor 2014.pdf,Bechor 2014,Type of treatments,two_llms_agree_legacy_diff,high,"""Attention Bias Modification Training""","[""attention bias modification""]","[""Attention Bias Modification Treatment (ABMT)"", ""Cognitive Behavioral Therapy (CBT)""]","[""attention bias modification"", ""cognitive behavioral therapy""]","[""Attention Bias Modification Treatment (ABMT)"", ""Cognitive Behavioral Therapy (CBT)""]","[""attention bias modification"", ""cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,"[""Attention Bias Modification Treatment (ABMT)"", ""Cognitive Behavioral Therapy (CBT)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,The article reports preliminary data on Attention Bias Modification Treatment after children and adolescents did not benefit from CBT.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Attention Bias Modification Treatment (ABMT)"", ""Cognitive Behavioral Therapy (CBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Cunningham 2009.pdf,Cunningham 2009,Type of treatments,two_llms_agree_legacy_diff,high,"""Cognitive behavioral treatment; self-help""","[""cognitive behavioral therapy"", ""self-help""]","""computer-based cognitive behavioural therapy (CBT) via Cool Teens CD-ROM""","[""cognitive behavioral therapy""]","[""computer-based cognitive behavioural therapy (CBT)""]","[""cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,"[""computer-based cognitive behavioural therapy (CBT)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,The Cool Teens CD-ROM is a multimedia program; the content is based on material from the Cool Kids anxiety program that delivers cognitive behavioural skills.,2,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""computer-based cognitive behavioural therapy (CBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Ehrenreich 2009.pdf,Ehrenreich 2009,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT, emotion-focused""","[""cognitive behavioral therapy"", ""emotion-focused""]","""Unified Protocol for the Treatment of Emotional Disorders (modified version for adolescents)""","[""unified protocol for the treatment of emotional disorders""]","[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]","[""unified protocol for the treatment of emotional disorders""]",llm_a=llm_b; legacy differs,"[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Utilizing the Unified Protocol for the Treatment of Emotional Disorders originally developed for adults, we conducted a multiple-baseline design study of a slightly modified version.",2,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Esveldt-Dawson 1982.pdf,Esveldt-Dawson 1982,Type of treatments,two_llms_agree_legacy_diff,high,"""Behavioral treatment""","[""behavioral therapy""]","[""instructions"", ""performance feedback"", ""participant modeling"", ""social reinforcement""]","[""instructions"", ""participant modeling"", ""performance feedback"", ""social reinforcement""]","[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]","[""instructions"", ""participant modeling"", ""performance feedback"", ""social reinforcement""]",llm_a=llm_b; legacy differs,"[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Treatment consisted of instructions, performance feedback, participant modeling and social reinforcement.",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Jacob 2013.pdf,Jacob 2013,Type of treatments,two_llms_agree_legacy_diff,high,"""Behavioral treatment""","[""behavioral therapy""]","""Behavioural activation (BA)""","[""behavioral activation""]","""Behavioural Activation (BA)""","[""behavioral activation""]",llm_a=llm_b; legacy differs,"""Behavioural Activation (BA)""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Results from this case series provide preliminary support for BA as a treatment for low-income, African American adolescents with MDD.",8,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""Behavioural Activation (BA)""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Leigh 2016.pdf,Leigh 2016,Type of treatments,two_llms_agree_legacy_diff,high,"""Cognitive therapy""","[""cognitive therapy""]","""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""","[""cognitive therapy for social anxiety disorder adapted for adolescents""]","""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""","[""cognitive therapy for social anxiety disorder adapted for adolescents""]",llm_a=llm_b; legacy differs,"""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Aims: To adapt CT-SAD for use with adolescents and conduct a pilot case series.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Lumpkin 2002.pdf,Lumpkin 2002,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT""","[""cognitive behavioral therapy""]","""Group Cognitive Behavioral Therapy (GCBT)""","[""group cognitive behavioral therapy""]","[""Group Cognitive Behavioral Therapy (GCBT)""]","[""group cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,"[""Group Cognitive Behavioral Therapy (GCBT)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,This study investigated the efficacy of Group Cognitive Behavioral Therapy (GCBT) in the treatment of anxiety disorders in children and adolescents.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Group Cognitive Behavioral Therapy (GCBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Saigh 1987.pdf,Saigh 1987,Type of treatments,two_llms_agree_legacy_diff,high,"""Behavioral treatment""","[""behavioral therapy""]","""in vitro flooding""","[""in vitro flooding""]","""in vitro flooding""","[""in vitro flooding""]",llm_a=llm_b; legacy differs,"""in vitro flooding""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,The general efficacy of this procedure is concordant with results reported when older PTSD cases received similar in vitro flooding packages.,11,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""in vitro flooding""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Storch 2015 - A Case Series of Cognitive-Behavioral Therapy Augmentation of Antidepressant Medication for Anxiety in Children With Autism Spectrum Disorders.pdf,Storch 2015,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT""","[""cognitive behavioral therapy""]","[""Cognitive-Behavioral Therapy (CBT)"", ""Serotonin Reuptake Inhibitor (SRI) medication""]","[""cognitive behavioral therapy"", ""serotonin reuptake inhibitor medication""]","[""Cognitive-Behavioral Therapy"", ""Serotonin Reuptake Inhibitor medication""]","[""cognitive behavioral therapy"", ""serotonin reuptake inhibitor medication""]",llm_a=llm_b; legacy differs,"[""Cognitive-Behavioral Therapy"", ""Serotonin Reuptake Inhibitor medication""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Seven youth whose anxiety remained problematic following serotonin reuptake inhibitor treatment received 16 sessions of weekly CBT.,3,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Cognitive-Behavioral Therapy"", ""Serotonin Reuptake Inhibitor medication""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Suveg 2006.pdf,Suveg 2006,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT; emotion-focused""","[""cognitive behavioral therapy"", ""emotion-focused""]","""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""","[""emotion-focused cognitive-behavioral therapy""]","[""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""]","[""emotion-focused cognitive-behavioral therapy""]",llm_a=llm_b; legacy differs,"[""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Examined the efficacy of an Emotion-focused Cognitive-Behavioral Therapy (ECBT) for six anxious youths ages 7-13 years.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Waters 2008.pdf,Waters 2008,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT+ interpersonal skills""","[""cognitive behavioral therapy"", ""interpersonal skills""]","[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal skills component (IP)""]","[""cognitive behavioral therapy"", ""interpersonal skills component""]","[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal Skills Component (IP)""]","[""cognitive behavioral therapy"", ""interpersonal skills component""]",llm_a=llm_b; legacy differs,"[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal Skills Component (IP)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Cognitive Behavioural Therapy Combined with an Interpersonal Skills Component in the Treatment of Generalized Anxiety Disorder in Adolescent Females.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal Skills Component (IP)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Chevalier 2020 - Evaluation_of_a_treatment_of_sleep_relat.pdf,Chevalier 2020,Age,all_different,high,"""8to12yo""","[""8-12""]",null,[],"""7.96 to 12.39 years (M=9.64)""","[""7.96 to 12.39 years (m=9.64)""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Age,all_different,high,"[15, 14, 17]","[""14-17""]","[""older adolescents"", ""young adults""]","[""older adolescents"", ""young adults""]","""14-21 years""","[""14-21""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Gaynor 2008.pdf,Gaynor 2008,Age,all_different,high,"[14, 12, 15]","[""12-15""]","""adolescents""","[""adolescents""]","[""12 years 7 months"", ""14 years 4 months"", ""15 years 2 months"", ""18 years""]","[""12 years 7 months"", ""14 years 4 months"", ""15 years 2 months"", ""18""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Hagopian 1993.pdf,Hagopian 1993,Age,all_different,high,6,"[""6""]",6.75,"[""6.75""]","""6 years 9 months""","[""6 years 9 months""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Hendriks 2017 - Child Psychology Psychiatry - Intensive prolonged exposure treatment for adolescent complex posttraumatic.pdf,Hendriks 2017,Age,all_different,high,"""12-18yo""","[""12-18""]","""adolescents""","[""adolescents""]","""13-18""","[""13-18""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Nakamura 2008 - Differential_Sequencing_of_Cognitive-Behavioral_Te.pdf,Nakamura 2008,Age,all_different,high,"[9, 12, 10]","[""9-12""]",null,[],"[""9 years 3 months"", ""12 years 6 months"", ""12 years 4 months"", ""10 years 4 months""]","[""10 years 4 months"", ""12 years 4 months"", ""12 years 6 months"", ""9 years 3 months""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Barterian 2018 - An Examination of Fluoxetine for the Treatment of Selective Mutism Using a Nonconcurrent Multiple-Baseline Single-Case Design Across 5 Cases.pdf,Barterian 2018,Comorbid diagnosis / problems,all_different,high,"""NR""","[""not reported""]",null,[],"""Social anxiety""","[""social anxiety""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Bechor 2014.pdf,Bechor 2014,Comorbid diagnosis / problems,all_different,high,"""Y, 1 participant has ADHD unclear which one""","[""y, 1 participant has adhd unclear which one""]",null,[],"[""ADHD"", ""minimally impairing tics"", ""impulse control problems"", ""depressive disorders""]","[""adhd"", ""depressive disorders"", ""impulse control problems"", ""minimally impairing tics""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Bowyer 2014.pdf,Bowyer 2014,Comorbid diagnosis / problems,all_different,high,"""NR""","[""not reported""]",null,[],"[""depression"", ""self-harming behaviors""]","[""depression"", ""self-harming behaviors""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
